SMILES1,SMILES2,cocrystal
C1=CC=C(C(=C1)C(=O)O)O,CC1=C(C=C(C=C1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],0
C1=CC=C(C=C1)C(=O)O,CC1=C(C=C(C=C1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],0
C1=CC=C(C(=C1)C(=O)O)O,CC1=C(C=C(C=C1)[N+](=O)[O-])[N+](=O)[O-],0
C1=CC=C(C=C1)C(=O)O,CC1=C(C=C(C=C1)[N+](=O)[O-])[N+](=O)[O-],0
C1=CC=C(C(=C1)C(=O)O)Cl,C1=CC=C(C(=C1)C(=O)O)O,0
C1=CC=C(C(=C1)C(=O)O)Cl,C1=CC=C(C=C1)C(=O)O,0
C1=CC=C(C(=C1)[N+](=O)[O-])O,C1=CC=C(C=C1)C(=O)O,0
C1=CC(=CC(=C1)O)C(=O)N,C1=CC=C(C(=C1)C(=O)O)O,0
C1=CC(=CC(=C1)O)C(=O)N,C1=CC=C(C=C1)C(=O)O,0
C1=CC=C(C=C1)C(=O)O,CC(CCCC(=O)O)CC(=O)O,0
C1=CC(=CC=C1[N+](=O)[O-])O,C1=CC=C(C(=C1)C(=O)O)O,0
C1=CC(=CC=C1[N+](=O)[O-])O,C1=CC=C(C=C1)C(=O)O,0
C1=CC(=CC=C1[N+](=O)[O-])O,C1=CC=C(C=C1)C=CC(=O)O,0
C1=CC=C(C=C1)C(=O)O,CC(=O)N,0
C1=CC(=CC(=C1)O)C(=O)O,C1=CC=C(C=C1)C(=O)N,0
C1=CC(=CC=C1C(=O)O)O,C1=CC=C(C=C1)C(=O)N,0
C1=CC=C(C=C1)C(=O)N,C1=CC=C(C=C1)C(=O)O,0
C1=CC=C(C=C1)C(=O)N,COC1=C(C=CC(=C1)C=CC(=O)O)O,0
C1=CC=C(C=C1)C(=O)C(=O)C2=CC=CC=C2,C1=CC=C(C=C1)C(=O)O,0
C1=CC=C(C(=C1)C(=O)O)O,C1=CC=C(C=C1)C(=O)O,0
C1=CC=C(C(=C1)C(=O)O)O,CC1(C2CCC1(C(C2)O)C)C,0
C1=CC=C(C=C1)C(=O)O,C1=CC=C(C=C1)C=CC(=O)O,0
C1=CC=C(C(=C1)C(=O)O)O,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC(=C(C=C2)O)OC)O,0
C1=CC(=CC=C1C(=O)O)O,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC(=C(C=C2)O)OC)O,0
COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC(=C(C=C2)O)OC)O,COC1=C(C=CC(=C1)C=CC(=O)O)O,0
C1=CC(=CC(=C1)O)C(=O)O,CCOC1=CC=CC=C1C(=O)N,0
C1=CC=C(C(=C1)C(=O)O)O,C1CC(=O)NC(=O)C1,0
C1=CC(=CC(=C1)O)C(=O)O,C1CC(=O)NC(=O)C1,0
C1=CC=C(C=C1)C(=O)O,C1CC(=O)NC(=O)C1,0
C1=CC=C2C(=C1)C=CC(=C2O)C(=O)O,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O,0
C1=CC(=C(C=C1O)C(=O)O)O,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O,0
C1=CC=C(C(=C1)C(=O)O)O,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O,0
C1=CC(=CC=C1C(=O)O)O,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O,0
C1=CC=C(C=C1)C(=O)O,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O,0
C1=CC(=O)NC1=O,C1=CC=C(C(=C1)C(=O)O)O,0
C1=CC(=CC(=C1)O)C(=O)O,C1=CC(=O)NC1=O,0
C1=CC(=O)NC1=O,C1=CC=C(C=C1)C(=O)O,0
C(C(=O)O)C(=O)O,C1=CC=C(C(=C1)C(=O)O)O,0
C(C(=O)O)C(=O)O,C1=CC=C(C=C1)C(=O)O,0
C1=CC=C(C(=C1)C(=O)O)O,CC1CCC(C(C1)O)C(C)C,0
C1=CC=C(C=C1)C(=O)O,C1=CC=C2C=CC=CC2=C1,0
C(=O)(C(=O)O)O,C1=CC=C(C=C1)C(=O)O,0
C1=CC=C(C(=C1)C(=O)O)O,C1=CC=C2C(=C1)C=CC3=CC=CC=C32,0
C1=CC=C(C=C1)C(=O)O,C1=CC=C2C(=C1)C=CC3=CC=CC=C32,0
C1=CC(=CC(=C1)O)C(=O)O,C1=CC=C2C(=C1)C=CC3=CC=CC=C32,0
C1=CC=C(C=C1)C=CC(=O)O,C1=CC=C2C(=C1)C=CC3=CC=CC=C32,0
C1=CC=C(C=C1)C(=O)O,C1=CC=C(C=C1)CC(=O)O,0
C1=CC=C(C=C1)C(=O)O,C1=CC=C2C(=C1)C(=O)NC2=O,0
C1=CC(=C(C(=C1)O)C(=O)O)O,C1CC(=O)N(C1)CC(=O)N,0
C1=CC(=C(C=C1O)C(=O)O)O,CC(=O)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C,0
C1=CC=C2C(=C1)C=CC(=C2C(=O)O)O,CC(=O)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C,0
C1=CC=C2C=C(C(=CC2=C1)C(=O)O)O,CC(=O)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C,0
C1=CC(=CC(=C1)O)C(=O)O,C1=CC=C(C(=C1)C(=O)N)O,0
C(CC(=O)O)C(=O)O,C1=CC=C(C=C1)C(=O)O,0
C1=CC=C(C(=C1)C(=O)O)O,C1CC(=O)NC1=O,0
C1=CC(=CC(=C1)O)C(=O)O,C1CC(=O)NC1=O,0
C1=CC=C(C=C1)C(=O)O,C1CC(=O)NC1=O,0
C(=O)(N)N,C1=CC=C(C=C1)C(=O)O,0
CC1=CC(=C(C=C1)C(C)C)O,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C,0
C1=CC(=CC(=C1)O)O,C1=CC=C(C=C1)C(C(=O)C2=CC=CC=C2)O,0
C1=CC(=CC(=C1)O)[N+](=O)[O-],CC1(C2CCC1(C(=O)C2)C)C,0
C1=C(N=C(S1)N=C(N)N)CSCCC(=NS(=O)(=O)N)N,C1=CC=C2C(=C1)C(=O)NS2(=O)=O,0
C(C(C(=O)O)O)(C(=O)O)O,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC(=C(C=C2)O)OC)O,0
C1=CC(=CC=C1[N+](=O)[O-])O,CC1(C2CCC1(C(=O)C2)C)C,0
C1=CC=C2C(=C1)C=CC=C2O,COC1=C(C=CC(=C1)C=O)O,0
C1=CC=C2C(=C1)C3=CC=CC=C3C2=O,C1=CC=C2C(=C1)C3=CC=CC=C3N2,0
C1=CC(=CC(=C1)N)N,C1=CC=C2C=C(C=CC2=C1)O,0
C1=CC(=CC=C1N)S(=O)(=O)NC2=NC=CS2,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,0
C1=CC=C(C=C1)C(=O)O,CC1(C2CCC1(C(=O)C2)C)C,0
C(=O)(C(=O)O)O,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O,0
C1=CC=C(C(=C1)N)[N+](=O)[O-],C1=CC=C2C(=C1)C=CC=C2O,0
C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl,C1=CN=C(N=C1)Cl,0
C1=CC(=CN=C1)C(=O)N,C1=CC=C2C=C(C=CC2=C1)O,0
C1=CC=C2C(=C1)C=CN2,CC1=CC2=CC=CC=C2N1,0
C(=O)(N)N,C1=CC=C2C(=C1)C=CC=C2O,0
C1=C(N=C(S1)N=C(N)N)CSCCC(=NS(=O)(=O)N)N,C1=CC(=CN=C1)C(=O)N,0
C1=CC(=CN=C1)C(=O)N,C1=CC=C2C(=C1)C=CN2,0
C1=CC(=CN=C1)C(=O)N,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC(=C(C=C2)O)OC)O,0
C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl,CC1=CC(=NN1)C,0
C1=CC=C(C=C1)C(=O)O,C1=CN=CC=C1N,0
CC(C)(C)CCNC(CC(=O)O)C(=O)NC(CC1=CC=CC=C1)C(=O)OC,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O,0
C1=CC(=CC=C1N)N,C1=CC=C(C=C1)C(=O)N,0
C1=CC=C2C=C(C=CC2=C1)O,COC1=C(C=CC(=C1)C=O)O,0
C1=CC(=CC(=C1)O)N,C1=CC(=CC(=C1)O)O,0
