SMILES1,SMILES2,cocrystal,mol1_top1_pos,mol1_top1_val,mol2_top1_pos,mol2_top1_val,mol1_top2_pos,mol1_top2_val,mol2_top2_pos,mol2_top2_val,mol1_top3_pos,mol1_top3_val,mol2_top3_pos,mol2_top3_val,mol1_top4_pos,mol1_top4_val,mol2_top4_pos,mol2_top4_val,mol1_top5_pos,mol1_top5_val,mol2_top5_pos,mol2_top5_val,mol1_top6_pos,mol1_top6_val,mol2_top6_pos,mol2_top6_val
O=N(=O)N1CN(CN(C1)N(=O)=O)N(=O)=O,O=S1(=O)CCCC1,1,13.0,1.181355,7.0,0.973194,4.0,0.841433,6.0,0.320456,7.0,0.805411,3.0,0.285254,5.0,0.483912,4.0,0.19418,2.0,0.479584,2.0,0.153012,8.0,0.351003,5.0,0.004757
Fc1c(F)c(F)c2c(F)c(F)c(F)c(F)c2c1F,S1C=CSC1=C1SC=CS1,1,5.0,0.914874,7.0,0.232059,14.0,0.754078,2.0,0.061356,7.0,0.695787,4.0,0.054212,3.0,0.633917,3.0,0.022959,15.0,0.365263,None,None,12.0,0.320753,None,None
C(Cc1ccncc1)c1ccncc1,FC(F)(I)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)I,1,14.0,1.143549,10.0,0.970793,3.0,1.108233,3.0,0.815568,5.0,0.772895,16.0,0.712096,4.0,0.647656,5.0,0.654903,8.0,0.514802,15.0,0.53482,2.0,0.3773,11.0,0.524682
O=C(NCc1ccncc1)C(=O)NCc1ccncc1,OC(=O)Cc1ccc(cc1)N(=O)=O,1,2.0,0.647025,4.0,0.969292,16.0,0.571399,5.0,0.948715,15.0,0.549842,7.0,0.839645,13.0,0.474605,1.0,0.227914,1.0,0.465685,13.0,0.153745,17.0,0.446299,12.0,0.013047
CN1C(=O)N(C)C2=C(NC=N2)C1=O,O=CNCCNC=O,1,9.0,0.852833,3.0,0.528465,2.0,0.722151,2.0,0.339245,13.0,0.506376,6.0,0.265511,3.0,0.442131,1.0,0.227815,1.0,0.224375,None,None,None,None,None,None
C1CCNCC1,Oc1ccc(O)cc1,1,1.0,1.306437,7.0,0.641346,5.0,0.630725,4.0,0.517952,4.0,0.254566,8.0,0.320206,6.0,0.120862,2.0,0.276097,2.0,0.11676,None,None,None,None,None,None
C1=CC(=CC(=C1)N)C(=O)O,C1=CC(=CN=C1)C(=O)N,0,3.0,-0.356615,3.0,-0.714601,1.0,-0.298642,8.0,-0.504921,8.0,-0.192654,1.0,-0.303604,6.0,-0.143569,6.0,-0.2011,4.0,-0.134948,None,None,2.0,-0.045708,None,None
CC(=O)C=Cc1ccc2cc(O)cc(O)c2c1,CCCCCCCCOc1ccc(cc1)C=Cc1ccncc1,1,15.0,0.499164,16.0,0.764799,6.0,0.400926,14.0,0.679619,17.0,0.380271,5.0,0.35431,11.0,0.36397,23.0,0.272238,16.0,0.287284,18.0,0.256816,13.0,0.278404,10.0,0.162938
NC(=O)N1c2ccccc2C=Cc2ccccc12,OC(=O)c1ccccc1O,1,8.0,0.487973,2.0,0.986655,13.0,0.40162,3.0,0.978025,17.0,0.36263,7.0,0.598924,16.0,0.340225,9.0,0.587454,5.0,0.259805,1.0,0.399695,6.0,0.249561,None,None
CN(C)c1ccc(C=CC(O)=O)cc1,OC(=O)C=Cc1c(F)c(F)c(F)c(F)c1F,1,14.0,0.367376,15.0,0.724615,13.0,0.155585,16.0,0.670859,10.0,0.10434,14.0,0.567571,None,None,4.0,0.428991,None,None,10.0,0.384752,None,None,13.0,0.377598
CN1C(=O)N(C)C2=C(NC=N2)C1=O,OC(=O)c1cc(ccc1O)c1ccc(F)cc1F,1,7.0,0.569111,16.0,0.837441,9.0,0.5344,6.0,0.486026,4.0,0.482679,2.0,0.464698,8.0,0.417138,3.0,0.272089,13.0,0.308334,5.0,0.26173,1.0,0.292432,7.0,0.258205
CC(=O)C(C)(C)C,CC(CCC(O)=O)C1CCC2C3CCC4CC(O)CCC4(C)C3CC(O)C12C,1,5.0,0.75221,16.0,1.150641,3.0,0.186974,27.0,1.144978,None,None,12.0,0.854075,None,None,6.0,0.792108,None,None,14.0,0.642256,None,None,23.0,0.459885
C1=CC=C2C=C(C(=CC2=C1)C(=O)O)O,CC(=O)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C,0,4.0,-0.574283,5.0,-0.798033,1.0,-0.418485,21.0,-0.792294,13.0,-0.329471,16.0,-0.410412,8.0,-0.327469,17.0,-0.408996,6.0,-0.234529,2.0,-0.353493,11.0,-0.088559,11.0,-0.173085
CC(C)(c1ccc(O)cc1)c1ccc(O)cc1,Cc1ccc(O)cc1,1,2.0,0.603364,2.0,1.032904,9.0,0.464022,4.0,0.908426,13.0,0.405136,7.0,0.45543,8.0,0.325921,5.0,0.215233,6.0,0.278243,None,None,4.0,0.202825,None,None
C(CCCC(=O)O)CCCC(=O)O,CC(C(C)C(=O)O)C(=O)O,0,9.0,-1.163038,2.0,-0.431113,13.0,-0.757062,9.0,-0.323779,1.0,-0.685011,4.0,-0.115808,10.0,-0.483583,1.0,-0.078112,3.0,-0.476539,10.0,-0.032414,4.0,-0.402253,None,None
c1ccc2nc3ccccc3cc2c1,OC(=O)c1cccc(Br)c1,1,11.0,1.035971,8.0,0.915924,2.0,0.865815,10.0,0.719404,12.0,0.551046,9.0,0.544601,4.0,0.350834,1.0,0.32292,5.0,0.05312,6.0,0.119336,None,None,None,None
C(N1C=Nc2ccccc12)c1ccncc1,Fc1c(F)c(I)c(F)c(F)c1I,1,8.0,0.858528,10.0,0.67901,5.0,0.238959,2.0,0.324673,7.0,0.121485,11.0,0.204947,None,None,5.0,0.186629,None,None,1.0,0.185382,None,None,3.0,0.046956
